2	200	0.0449935
4	200	0.0262296
8	200	0.0184606
16	200	0.0267573
20	200	0.0225909


2	400	0.293982
4	400	0.175017
8	400	0.116105
16	400	0.121447
20	400	0.0995004


2	600	0.977037
4	600	0.502811
8	600	0.324823
16	600	0.168123
20	600	0.191737


2	800	2.28525
4	800	1.17807
8	800	0.61752
16	800	0.378441
20	800	0.353746


2	1000	4.44375
4	1000	2.27938
8	1000	1.1811
16	1000	0.824254
20	1000	0.662019


2	1200	7.6581
4	1200	3.8988
8	1200	2.18878
16	1200	1.83469
20	1200	1.05122


2	1400	12.1444
4	1400	6.14627
8	1400	3.3096
16	1400	2.79879
20	1400	1.6007


2	1600	18.0991
4	1600	9.13942
8	1600	5.01402
16	1600	3.57332
20	1600	2.30669


2	1800	25.715
4	1800	13.0055
8	1800	6.76511
16	1800	3.58792
20	1800	3.34837


2	2000	35.2125
4	2000	17.8116
8	2000	9.16006
16	2000	5.32014
20	2000	4.46642


2	2200	46.8383
4	2200	23.6245
8	2200	12.1387
16	2200	6.50187
20	2200	5.64094


2	2400	60.9869
4	2400	30.7599
8	2400	16.463
16	2400	8.384
20	2400	7.48354


2	2600	77.1361
4	2600	39.0306
8	2600	20.3584
16	2600	10.6424
20	2600	9.5387


2	2800	96.5169
4	2800	60.512
8	2800	25.8452
16	2800	13.2273
20	2800	12.8947


2	3000	119.122
4	3000	59.9666
8	3000	31.4777
16	3000	16.1513
20	3000	14.891