2	200	0.0132022
4	200	0.00327026
8	200	0.00198102
16	200	0.00223231
32	200	0.00253859
64	200	0.00264733
128	200	0.0253118


2	400	0.196069
4	400	0.0988854
8	400	0.0481861
16	400	0.0241415
32	400	0.0231367
64	400	0.0128393
128	400	0.0128439


2	600	0.5774
4	600	0.289022
8	600	0.267311
16	600	0.142049
32	600	0.0821887
64	600	0.0423324
128	600	0.0341873


2	800	1.47118
4	800	0.737626
8	800	0.406633
16	800	0.374734
32	800	0.190682
64	800	0.158911
128	800	0.106129


2	1000	2.63692
4	1000	1.31667
8	1000	1.23476
16	1000	0.686945
32	1000	0.428324
64	1000	0.237302
128	1000	0.158277


2	1200	4.47802
4	1200	2.36366
8	1200	1.40011
16	1200	0.966661
32	1200	0.530575
64	1200	0.415487
128	1200	0.242852


2	1400	6.70255
4	1400	3.68081
8	1400	2.19007
16	1400	1.30533
32	1400	0.761936
64	1400	0.370949
128	1400	0.179206


2	1600	11.8317
4	1600	6.66853
8	1600	4.42026
16	1600	2.28694
32	1600	1.23549
64	1600	0.651981
128	1600	0.371827


2	1800	10.8115
4	1800	5.65342
8	1800	4.7537
16	1800	2.39971
32	1800	1.27915
64	1800	0.654073
128	1800	0.356666


2	2000	16.2745
4	2000	9.16767
8	2000	6.6392
16	2000	2.90389
32	2000	1.77112
64	2000	1.13765
128	2000	0.695058


2	2200	20.5488
4	2200	11.6228
8	2200	6.57096
16	2200	3.46739
32	2200	1.83839
64	2200	1.43771
128	2200	0.669729


2	2400	35.2797
4	2400	18.6006
8	2400	11.5286
16	2400	7.81268
32	2400	4.30718
64	2400	2.4469
128	2400	1.26762


2	2600	41.5343
4	2600	21.4492
8	2600	12.5006
16	2600	6.5744
32	2600	3.74872
64	2600	2.20311
128	2600	1.55209


2	2800	46.6866
4	2800	25.9091
8	2800	13.9095
16	2800	10.9421
32	2800	5.57413
64	2800	3.55658
128	2800	1.87828


2	3000	77.3048
4	3000	32.1221
8	3000	16.0956
16	3000	12.2568
32	3000	5.97501
64	3000	3.26456
128	3000	1.94328